Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb
gndblwq,P,8/7/2018 11:15,0,0,,32,<0> ,37.38,<0> ,23.5,<0> ,96.1,<0> ,6.2,<0> ,0.69,<0> ,0.62,<3> ,7.8,<0> ,12,<0> 
gndblwq,P,8/7/2018 11:30,0,0,,32.3,<0> ,37.36,<0> ,23.5,<0> ,94.1,<0> ,6,<0> ,0.67,<0> ,0.6,<3> ,7.8,<0> ,11,<0> 
gndblwq,P,8/7/2018 11:45,0,0,,32.5,<0> ,37.25,<0> ,23.4,<0> ,95.3,<0> ,6.1,<0> ,0.66,<0> ,0.6,<3> ,7.8,<0> ,14,<0> 
gndblwq,P,8/7/2018 12:00,0,0,,32.9,<0> ,37.12,<0> ,23.3,<0> ,96.2,<0> ,6.1,<0> ,0.63,<0> ,,<-1> [GCU],7.7,<0> ,13,<0> 
gndblwq,P,8/7/2018 12:15,0,0,,33.1,<0> ,36.93,<0> ,23.2,<0> ,97.4,<0> ,6.2,<0> ,0.6,<0> ,0.54,<3> ,7.7,<0> ,11,<0> 
gndblwq,P,8/7/2018 12:30,0,0,,33.3,<0> ,36.87,<0> ,23.1,<0> ,97.8,<0> ,6.2,<0> ,0.58,<0> ,0.52,<3> ,7.7,<0> ,11,<0> 
gndblwq,P,8/7/2018 12:45,0,0,,33.7,<0> ,36.54,<0> ,22.9,<0> ,96.1,<0> ,6,<0> ,0.55,<0> ,0.49,<3> ,7.6,<0> ,9,<0> 
gndblwq,P,8/7/2018 13:00,0,0,,34,<0> ,36.76,<0> ,23,<0> ,97.2,<0> ,6.1,<0> ,0.53,<0> ,,<-1> [GCU],7.6,<0> ,11,<0> 
gndblwq,P,8/7/2018 13:15,0,0,,34.1,<0> ,36.6,<0> ,22.9,<0> ,97.4,<0> ,6.1,<0> ,0.51,<0> ,0.46,<3> ,7.6,<0> ,9,<0> 
gndblwq,P,8/7/2018 13:30,0,0,,34.2,<0> ,36.6,<0> ,22.9,<0> ,99.5,<0> ,6.2,<0> ,0.49,<0> ,0.44,<3> ,7.6,<0> ,9,<0> 
gndblwq,P,8/7/2018 13:45,0,0,,34.3,<0> ,36.63,<0> ,22.9,<0> ,100.6,<0> ,6.3,<0> ,0.48,<0> ,0.43,<3> ,7.6,<0> ,11,<0> 
gndblwq,P,8/7/2018 14:00,0,0,,34.5,<0> ,36.77,<0> ,23,<0> ,103.4,<0> ,6.4,<0> ,0.46,<0> ,,<-1> [GCU],7.6,<0> ,11,<0> 
gndblwq,P,8/7/2018 14:15,0,0,,34.8,<0> ,36.92,<0> ,23.1,<0> ,106.5,<0> ,6.6,<0> ,0.45,<0> ,0.41,<3> ,7.6,<0> ,11,<0> 
gndblwq,P,8/7/2018 14:30,0,0,,34.8,<0> ,36.76,<0> ,23,<0> ,107.6,<0> ,6.6,<0> ,0.43,<0> ,0.39,<3> ,7.6,<0> ,10,<0> 
gndblwq,P,8/7/2018 14:45,0,0,,34.7,<0> ,36.71,<0> ,23,<0> ,105.6,<0> ,6.5,<0> ,0.42,<0> ,0.38,<3> ,7.6,<0> ,11,<0> 
gndblwq,P,8/7/2018 15:00,0,0,,34.5,<0> ,36.64,<0> ,22.9,<0> ,106.2,<0> ,6.6,<0> ,0.41,<0> ,,<-1> [GCU],7.7,<0> ,14,<0> 
gndblwq,P,8/7/2018 15:15,0,0,,34.6,<0> ,36.65,<0> ,22.9,<0> ,107.4,<0> ,6.7,<0> ,0.41,<0> ,0.37,<3> ,7.7,<0> ,13,<0> 
gndblwq,P,8/7/2018 15:30,0,0,,34.5,<0> ,36.65,<0> ,22.9,<0> ,107.7,<0> ,6.7,<0> ,0.4,<0> ,0.35,<3> ,7.7,<0> ,11,<0> 
gndblwq,P,8/7/2018 15:45,0,0,,34.3,<0> ,36.65,<0> ,22.9,<0> ,106.8,<0> ,6.6,<0> ,0.4,<0> ,0.35,<3> ,7.7,<0> ,13,<0> 
gndblwq,P,8/7/2018 16:00,0,0,,34.1,<0> ,36.64,<0> ,22.9,<0> ,104.6,<0> ,6.5,<0> ,0.4,<0> ,,<-1> [GCU],7.7,<0> ,15,<0> 
gndblwq,P,8/7/2018 16:15,0,0,,34.1,<0> ,36.7,<0> ,23,<0> ,105.3,<0> ,6.6,<0> ,0.38,<0> ,0.34,<3> ,7.7,<0> ,11,<0> 
gndblwq,P,8/7/2018 16:30,0,0,,34,<0> ,36.75,<0> ,23,<0> ,104.3,<0> ,6.5,<0> ,0.36,<0> ,0.32,<3> ,7.6,<0> ,12,<0> 
gndblwq,P,8/7/2018 16:45,0,0,,33.9,<0> ,36.79,<0> ,23,<0> ,104.5,<0> ,6.5,<0> ,0.34,<0> ,0.3,<3> ,7.6,<0> ,13,<0> 
gndblwq,P,8/7/2018 17:00,0,0,,34.1,<0> ,36.85,<0> ,23.1,<0> ,105.7,<0> ,6.6,<0> ,0.34,<0> ,,<-1> [GCU],7.7,<0> ,12,<0> 
gndblwq,P,8/7/2018 17:15,0,0,,34.1,<0> ,36.86,<0> ,23.1,<0> ,108.2,<0> ,6.8,<0> ,0.33,<0> ,0.29,<3> ,7.7,<0> ,13,<0> 
gndblwq,P,8/7/2018 17:30,0,0,,33.7,<0> ,36.74,<0> ,23,<0> ,104.5,<0> ,6.6,<0> ,0.34,<0> ,0.3,<3> ,7.7,<0> ,17,<0> 
gndblwq,P,8/7/2018 17:45,0,0,,33.5,<0> ,36.04,<0> ,22.5,<0> ,100.3,<0> ,6.3,<0> ,0.36,<0> ,0.32,<3> ,7.6,<0> ,16,<0> 
gndblwq,P,8/7/2018 18:00,0,0,,33.4,<0> ,36.15,<0> ,22.6,<0> ,99.5,<0> ,6.3,<0> ,0.36,<0> ,,<-1> [GCU],7.5,<0> ,16,<0> 
gndblwq,P,8/7/2018 18:15,0,0,,33.2,<0> ,35.94,<0> ,22.5,<0> ,99.4,<0> ,6.3,<0> ,0.38,<0> ,0.34,<3> ,7.5,<0> ,15,<0> 
gndblwq,P,8/7/2018 18:30,0,0,,33,<0> ,35.65,<0> ,22.3,<0> ,97.4,<0> ,6.2,<0> ,0.4,<0> ,0.35,<3> ,7.5,<0> ,21,<0> 
gndblwq,P,8/7/2018 18:45,0,0,,33,<0> ,35.7,<0> ,22.3,<0> ,97.7,<0> ,6.2,<0> ,0.42,<0> ,0.38,<3> ,7.5,<0> ,24,<0> 
gndblwq,P,8/7/2018 19:00,0,0,,33,<0> ,36.69,<0> ,23,<0> ,94.9,<0> ,6,<0> ,0.44,<0> ,,<-1> [GCU],7.5,<0> ,18,<0> 
gndblwq,P,8/7/2018 19:15,0,0,,32.8,<0> ,35.81,<0> ,22.4,<0> ,95.8,<0> ,6.1,<0> ,0.46,<0> ,0.41,<3> ,7.5,<0> ,16,<0> 
gndblwq,P,8/7/2018 19:30,0,0,,32.7,<0> ,36.28,<0> ,22.7,<0> ,89.4,<0> ,5.7,<0> ,0.47,<0> ,0.42,<3> ,7.5,<0> ,18,<0> 
gndblwq,P,8/7/2018 19:45,0,0,,32.6,<0> ,36.17,<0> ,22.6,<0> ,90.9,<0> ,5.8,<0> ,0.48,<0> ,0.43,<3> ,7.5,<0> ,15,<0> 
